ENGLISH,ARABIC
you,أنت
I or I.,أنا أو أنا
to,ل
the,ال
a or A.,أ أو أ.
and,و
that,الذي - التي
it,هو - هي
of,من
me,أنا
what,ماذا او ما
is,هو
in,في
this,هذه
know,أعرف
I'm,انا
for,ل
no,لا
have,لديك
my,لي
don't,لا
just,مجرد
not,ليس
do,فعل
be,يكون
on,تشغيل
your,لك
was,كان
we,نحن
it's,إنه
with,مع
so,لذا
but,لكن
all,الكل
well,نحن سوف
are,نكون
he,هو
oh,أوه
about,حول
right,حق
you're,أنت على
get,احصل على
here,هنا
out,خارج
going,ذاهب
like,مثل
yeah,بلى
if,لو
her,ها
she,هي
can,تستطيع
up,فوق
want,تريد
think,فكر في
that's,هذا
now,الآن
go,اذهب
him,له
at,في
how,كيف
got,حصلت
there,هناك
one,واحد
did,فعل
why,لماذا
see,يرى
come,تأتي
good,جيد
they,أنهم
really,هل حقا
as,مثل
would,سيكون
look,بحث
when,متى
time,الوقت
will,إرادة
okay,حسنا
back,الى الخلف
can't,لا
mean,تعني
tell,يخبار
I'll,مريض
from,من عند
hey,مهلا
were,كانوا
he's,انه
could,يستطع
didn't,لم تفعل ذلك
yes,نعم
his,له
been,ايضا
or,أو
something,شيئا ما
who,منظمة الصحة العالمية
because,لان
some,بعض
had,ملك
then,من ثم
say,قل
ok,موافق
take,يأخذ
an,أ
way,طريق
us,نحن
little,القليل
make,صنع
need,بحاجة إلى
gonna,سوف
never,مطلقا
we're,كانوا
too,جدا
love,حب
she's,هي
I've,لقد قمت
sure,بالتأكيد
them,معهم
more,أكثر
over,على
our,لنا
sorry,آسف
where,أين
what's,ما هى
let,يترك
thing,شيء
am,صباحا
maybe,يمكن
down,تحت
man,رجل
has,لديها
uh,أوه
very,جداً
by,بواسطة
there's,هناك
should,ينبغي
anything,اى شى
said,قالت
much,كثيراً
any,أي
life,الحياة
even,حتى في
off,إيقاف
please,من فضلك
doing,عمل
thank,شكر
give,يعطى
only,فقط
thought,فكر
help,مساعدة
two,اثنين
talk,حديث
people,اشخاص
god,الله
still,ما يزال
wait,انتظر
into,داخل
find,تجد
nothing,لا شيئ
again,تكرارا
things,أشياء
let's,دعونا
doesn't,لا
call,يتصل
told,أخبر
great,عظيم
before,قبل
better,أفضل
ever,أبدًا
night,ليل
than,من
away,بعيدا
first,أول
believe,يصدق
other,آخر
feel,شعور
everything,كل شىء
work,الشغل
you've,لديك
fine,بخير
home,الصفحة الرئيسية
after,بعد
last,الاخير
these,هؤلاء
day,يوم
keep,احتفظ
does,يفعل
put,وضع
around,حول
stop,قف
they're,هم
I'd,هوية شخصية
guy,شاب
long,طويل
isn't,ليس كذلك
always,دائماً
listen,استمع
wanted,مطلوب
Mr.,السيد.
guys,شباب
huh,هاه
those,هؤلاء
big,كبير
lot,كثيرا
happened,حدث
thanks,شكرًا
won't,متعود
trying,محاولة
kind,عطوف
wrong,خاطئ
through,عبر
talking,تتحدث
made,مصنوع
new,الجديد
being,مستخدم
guess,خمن
hi,مرحبا
care,رعاية
bad,سيئ
mom,أمي
remember,يتذكر
getting,الحصول على
we'll,نحن سوف
together,سويا او معا
dad,بابا
leave,غادر
mother,أم
place,مكان
understand,تفهم
wouldn't,لن
actually,فعلا
hear,يسمع
baby,طفل
nice,لطيف
father,الآب
else,آخر
stay,البقاء
done,انتهى
wasn't,لم يكن
their,هُم
course,مسار
might,ربما
mind,عقل _ يمانع
every,كل
enough,كافية
try,محاولة
hell,الجحيم
came,أتى
someone,شخصا ما
you'll,سانت
own,ملك
family,أسرة
whole,كل
another,اخر
house or House,منزل أو منزل
Jack or jack,جاك أو جاك
yourself,نفسك
idea,فكرة
ask,يطلب
best,أفضل
must,يجب
coming,آت
old,عمر او قديم
looking,يبحث
woman,النساء
hello,أهلا
which,أيّ
years,أعوام
room,مجال
money,مال
left,اليسار
knew,عرف
tonight,هذه الليلة
real,حقيقة
son,ابن
hope,أمل
name,اسم
same,نفس
went,ذهب
um,أم
hmm,همم
happy,سعيدة
pretty,جميلة
saw,رأى
girl,فتاة
sir,سيدي المحترم
show,تبين
friend,صديق
already,سابقا
saying,قائلا
may or May,ربما او ربما
next,التالي
three,ثلاثة
job,وظيفة
problem,مشكلة
minute,اللحظة
found,وجدت
world,العالمية
thinking,التفكير
haven't,ليس
heard,سمع
honey,عسل
matter,موضوع
myself,نفسي
couldn't,لا يمكن
exactly,بالضبط
having,نأخذ
ah,آه
probably,من المحتمل
happen,يحدث
we've,لدينا
hurt,الأذى
boy,صبي
both,على حد سواء
while,في حين
dead,في ذمة الله تعالى
gotta,يجب
alone,وحده
since,حيث
excuse,عذر
start,البداية
kill,قتل
hard,صعب
you'd,لكم
today,اليوم
car,السيارات
ready,جاهز
until,حتى
without,بدون
whatever,ما من أي وقت مضى
wants,يريد
hold,كبح
wanna,اريد
yet,بعد
seen,رأيت
deal,صفقة
took,استغرق
once,بمجرد
gone,ذهب
called,اتصل
morning,صباح
supposed,مفترض
friends,اصحاب
head,رئيس
stuff,أمور
most,عظم
used,تستخدم
worry,يقلق
second,ثانيا
part,جزء
live,يعيش
truth,حقيقة
school,المدرسة
face,وجه
forget,ننسى
TRUE,صحيح
business,عمل
each,كل
cause,موجه
soon,هكذا
knows,تعرف
few,قليل
telling,تقول
wife,زوجة
who's,من هو
use,استعمال
chance,صدفة
run,يركض
move,نقل
anyone,أي واحد
person,شخص
bye,وداعا
J.,ج.
somebody,شخص ما
Dr. or dr.,الدكتور أو الدكتور.
heart,قلب
such,مثل
miss,يغيب
married,زوجت
point,نقطة
later,في وقت لاحق
making,صناعة
meet,يجتمع
anyway,على أي حال
many,كثير
phone,هاتف
reason,السبب
damn,اللعنة
lost,ضائع
looks,تبدو
bring,احضر
case,قضية
turn,منعطف أو دور
wish,يتمنى
tomorrow,غداً
kids,صغار في السن
trust,ثقة
check,التحقق من
change,يتغيرون
end,نهاية
late,متأخر
anymore,أي أكثر من ذلك
five,خمسة
least,الأقل
town,قرية
aren't,غير
ha,هكتار
working,عمل
year,عام
makes,يصنع
taking,مع الأخذ
means,يعني
brother,شقيق
play,لعب
hate,اكرهه
ago,منذ
says,يقول
beautiful,الجمال
gave,أعطى
fact,حقيقة
crazy,مجنون
party,حفل
sit,يجلس
open,افتح
afraid,خائف
between,بين
important,الأهمية
rest,راحة
fun,مرح
kid,طفل
word,كلمة
watch,راقب
glad,مسرور
everyone,كل واحد
days,أيام
sister,أخت
minutes,الدقائق
everybody,الجميع
bit,قليل
couple,زوج
whoa,Whoa.
either,أيضاً
Mrs.,السّيدة.
feeling,شعور
daughter,بنت
wow,رائع
gets,يحصل على
asked,طلبت
under,تحت
break,فترة راحة
promise,يعد
door,باب
set,جلس
close,قريب
hand,يُسلِّم
easy,سهل
question,سؤال
doctor,طبيب
tried,حاول
far,بعيد
walk,سير
needs,الاحتياجات
trouble,مشكلة
mine,الخاص بي
though,رغم ذلك
times,مرات
different,مختلف
killed,قتل
hospital,مستشفى
anybody,اي شخص
Sam or SAM,سام أو سام
alright,حسنا
wedding,حفل زواج
shut,اغلق
able,قادر
die,موت
perfect,في احسن الاحوال
police,شرطة
stand,يفهم
comes,يأتي
hit,نجاح
story,قصة
ya,يا
mm,مم
waiting,انتظار
dinner,وجبة عشاء
against,ضد
funny,مضحك
husband,الزوج
almost,تقريبيا
stupid,غبي
pay,دفع
answer,إجابه
four,أربعة
office,مكتب. مقر. مركز
cool,بارد
eyes,عيون
news,الإخبارية
child,طفل
shouldn't,لا ينبغي ذلك
half,نصف
side,الجانب
yours,خاصة بك
moment,الوقت الحاضر
sleep,نايم
read,اقرأ
where's,اين
started,بدأت
young,صغيرة
men,رجال
sounds,اصوات
sonny or Sonny,سوني أو سوني
lucky,سعيد الحظ
pick,قطف او يقطف
sometimes,أحيانا
em,مليا
bed,سرير
also,ايضا
date,تاريخ
line,خط
plan,خطة
hours,ساعات
lose,يخسر
fire,إطلاق النار
free,مجانا
hands,أيدي
serious,جدي
Leo,ليو
shit,القرف
behind,وراء
inside,داخل
high,متوسط
ahead,امام
week,أسبوع
wonderful,رائع
T.,ب
fight,يقاتل
past,ماضي
cut,يقطع
quite,تمامًا
number,رقم
he'll,الجحيم
sick,مريض
S.,س.
it'll,سوف
game,لعبه
eat,تأكل
nobody,لا أحد
goes,يذهب
death,الموت
along,على طول
save,حفظ
seems,يبدو
finally,أخيرا
lives,الأرواح
worried,قلق
upset,منزعج
Theresa,هناك
Carly,كارلي
Ethan,إيثان
met,التقى
book,الكتاب
brought,جلبت
seem,بدا
sort,نوع
safe,آمنة
living,معيشة
children,الأطفال
weren't,لم تفعل ذلك
leaving,مغادرة
front,أمامي
shot,اطلاق النار
loved,حب
asking,يسأل
running,ادارة
clear,صافي
figure,الشكل
hot,الحار
felt,شعر
six,ستة
parents,الآباء
drink,يشرب
absolutely,إطلاقا
how's,كيف حال
daddy,أبي
sweet,حلو
alive,على قيد الحياة
Paul,بول
sense,إحساس
meant,عنى
happens,يحدث
David,ديفيد
special,مميز
bet,رهان
blood,دم
ain't,لا
kidding,مزاح
lie,يكذب
full,ممتلىء
meeting,لقاء
dear,العزيز
coffee,قهوة
seeing,رؤية
sound,يبدو
fault,خطأ
water,ماء
fuck,اللعنة
ten,عشرة
women,امرأة
John or john,جون أو جون
welcome,أهلا بك
buy,يشترى
months,الشهور
hour,ساعة
speak,تحدث
lady,السيدة
Jen,جين
thinks,يعتقد
Christmas,عيد الميلاد
body,هيئة
order,طلب
outside,الخارج
hang,يشنق
possible,ممكن
worse,أسوأ
company,شركة
mistake,خطأ
ooh,أوه
handle,مقبض
spend,أنفق
C.,جيم
totally,تماما
giving,إعطاء
control,مراقبة
here's,هنا
marriage,زواج
realize,تدرك
D.,د.
power,قوة
president,رئيس
unless,ما لم
sex,الجنس
girls,فتيات
send,يرسل
needed,ضروري
O. or o,O. أو O.
taken,مأخوذ
died,مات
scared,مفزوع
picture,صورة
talked,تحدث
Jake,جيك
Al,أمن
ass,الحمار
hundred,مائة
changed,تغير
completely,تماما
explain,يشرح
playing,تلعب
certainly,من المؤكد
sign,وقع
boys,أولاد
relationship,صلة
Michael,ميخائيل
loves,يحب
fucking,سخيف
hair,شعر
lying,يكذب
choice,خيار
anywhere,في أى مكان
secret,سر
future,مستقبل
weird,عجيب
luck,حظ
she'll,الصدف
Max or max.,ماكس أو ماكس.
Luis,لويس
turned,تحولت
known,معروف
touch,لمس. اتصال. صلة
kiss,قبلة
Crane or crane,رافعة أو رافعة
questions,أسئلة
obviously,بشكل ملحوظ
wonder,يتساءل
pain,الم
calling,دعا
somewhere,مكان ما
throw,رمي
straight,مباشرة
Grace or grace,نعمة أو غريس
cold,البرد
white or White,أبيض أو أبيض
fast,سريع
Natalie,ناتالي
words,كلمات
R.,رديئة
food,غذاء
none,لا أحد
drive,قطع
feelings,مشاعر
they'll,انهم سوف
worked,عمل
marry,الزواج
light,خفيفة
test,اختبار
drop,قطرة
cannot,لا تستطيع
Frank,صريح
sent,أرسلت
city,مدينة
dream,حلم
protect,يحمي
twenty,عشرون
class,صف دراسي
Lucy,لوسي
surprise,مفاجئة
its,إنه
sweetheart,حبيبة القلب
forever,مدى الحياة
poor,مسكين
looked,بحث
mad,غاضب
except,إلا
gun,بندقية
y'know,y'know.
dance,رقص
takes,أخذ
appreciate,يقدر
especially,خصوصاً
situation,قارة
besides,بجانب
weeks,أسابيع
pull,يحذب
himself,نفسه
hasn't,ألم
act,فعل
worth,قيمة
Sheridan,شيريدان
amazing,رائعة حقا
top,أعلى
given,منح
expect,توقع
Ben,بن
rather,على الاصح
Julian,جوليان
involved,المعنيين
swear,أقسم
piece,قطعة
busy,مشغول
law,قانون
decided,مقرر
black or Black,أسود أو أسود
Joey,جوي
happening,يحدث
movie,فيلم
we'd,الأربعاء
catch,امساك
Antonio,أنطونيو
country,بلد
less,أقل
perhaps,ربما
step,خطوة
fall,تقع
watching,مشاهدة
kept,أبقى
darling,حبيبي
dog,كلب
Ms.,آنسة.
win,يفوز
air,هواء
honor,شرف
personal,الشخصية
moving,متحرك
till,حتى
admit,يعترف
problems,مشاكل
murder,قتل
strong,قوي
he'd,وقال
evil,شرير
definitely,بالتااكيد
feels,شعور
information,معلومة
honest,صادق
eye,عين
broke,حطم
missed,مٌفتَقد
longer,طويل
dollars,دولار
tired,متعبه
Jason,جيسون
George,جورج
evening,مساء
human,بشري
starting,بدء
Ross,روس
red,أحمر
entire,بأكمله
trip,رحلة قصيرة
Brooke,بروك
E.,هيا
club,النادي
Niles,niles.
suppose,يفترض
calm,هادئ
imagine,يتصور
Todd,تود
fair,معرض
caught,القبض
B.,ب.
blame,إلقاء اللوم على
street,شارع
sitting,جلس
favor,محاباة
apartment,شقة
court,ملعب تنس
terrible,كريه
clean,ينظف
Tony or tony,توني أو توني
learn,يتعلم
Alison,أليسون
Rick,ريك
works,ويعمل
Rose or rose,روز أو روز
Frasier,frasier.
relax,يستريح
York,يورك
million,مليون
charity,الاعمال الخيرية
accident,حادثة
wake,استيقظ
prove,إثبات
Danny,داني
smart,ذكي
message,رسالة
missing,مفقود
forgot,نسيت
small,صغير
interested,مهتم
table,الطاولة
nbsp,نبض
become,أصبح
Craig,كريج
mouth,فم
pregnant,حامل
middle,وسط
Billy or billy,بيلي أو بيلي
ring,جرس
careful,حذر
shall,سوف
dude,يا صديق
team,فريق
ride,اركب
figured,برز
wear,البس، ارتداء
shoot,أطلق النار
stick,عصا
Ray or ray,راي أو راي
follow,إتبع
Bo,بوع
angry,غاضب
instead,في حين أن
buddy,صاحب
write,اكتب
stopped,توقفت
early,في وقت مبكر
Angel or angel,ملاك أو ملاك
Nick or nick,نيك أو نيك
ran,جرى
war,حرب
standing,يقف
forgive,اغفر
jail,سجن
wearing,يلبس
Miguel,ميغيل
ladies,السيدات
kinda,كيندا
lunch,غداء
Cristian,كريستيان
eight,ثمانية
Greenlee,غرينلي
gotten,وافر
hoping,يأمل
Phoebe,فيبي
thousand,ألف
ridge,ريدج
music,موسيقى
Luke,لوقا
paper,ورق
tough,قاسٍ
tape,الشريط
Emily,إميلي
state,دولة
count,عدد
college,كلية
boyfriend,حبيب
proud,فخور
agree,يوافق على
birthday,تاريخ الميلاد
bill,فاتورة
seven,سبعة
they've,لديهم
Timmy,تيمي
history,التاريخ
share,شارك
offer,عرض
hurry,عجل
ow,واو
feet,أقدام
wondering,أتساءل
simple,بسيط
decision,قرار
building,بناء
ones,تلك
finish,ينهي
voice,صوت بشري
herself,نفسها
Chris,كريس
would've,سوف
list,قائمة
Kay,كاي
mess,فوضة
deserve,استحق
evidence,دليل
cute,جذاب
Jerry,جيري
dress,فستان
Richard,ريتشارد
interesting,مثير للاهتمام
Jesus,يسوع
James,جوامع
hotel,الفندق
enjoy,التمتع
Ryan,ريان
Lindsay,ليندساي
quiet,هادئ
concerned,المعنية
road,طريق
Eve or eve,حواء أو حواء
staying,الإقامة
short,قصير
M.,م.
beat,يهزم
sweetie,الحبيبة
mention,يذكر
clothes,ملابس
finished,تم الانتهاء من
fell,سقط
neither,لا هذا ولا ذاك
mmm,ط ط ط
fix,يصلح
Victor or victor,فيكتور أو فيكتور
respect,احترام
spent,أنفق
prison,سجن
attention,اهتمام
holding,تحتجز
calls,المكالمات
near,قرب
surprised,فوجئ
bar,شريط
Beth,بيت
pass,يمر
keeping,حفظ
gift,هدية مجانية
hadn't,لم تفعل ذلك
putting,وضع
dark,داكن
self,الذات
owe,مدينون
using,استخدام
Nora,نورا
ice,جليد
helping,مساعدة
bitch,الكلبة
normal,عادي
aunt,عمة
lawyer,محامي
apart,بعيدا، بمعزل، على حد
certain,المؤكد
plans,خطط
Jax,كذا
girlfriend,صديقة
floor,أرضية
whether,سواء
everything's,كل شيء
present,الحالي
earth,الارض
private,نشر
Jessica,جيسيكا
box,صندوق
Dawson,داوسون
cover,التغطية
judge,قاضي
upstairs,الطابق العلوي
Alexis,الكسيس
Shawn,شون
sake,مصلحة
mommy,الأم
possibly,ربما
worst,أسوأ